###	N.B.: File summary located at bottom of TSV file.					Suggested command to download: 			cut -f 1 ./4DNES7IB5LY9_supp_files_2024-10-04-00h-47m.tsv | tail -n +3 | grep -v ^# | xargs -n 1 curl -O -L --user <access_key_id>:<access_key_secret>
File Download URL	Experiment Set Accession	Experiment Accession	File Accession	Size (MB)	md5sum	File Type	File Format	Bio Rep No	Tech Rep No	Biosource Type	Organism	Related File Relationship	Related File	Paired End	Set Status	File Status	Publication	Experiment Type	Replicate Info	Assay Details	Biosource	Dataset	Condition	In Experiment As	Project	Generating Lab	Experimental Lab	Contributing Lab	Notes	Open Data URL
https://data.4dnucleome.org/files-processed/4DNFI1GNQM8L/@@download/4DNFI1GNQM8L.bam	4DNES7IB5LY9	4DNEXFLO7R6M	4DNFI1GNQM8L	41534.98	9bbb1436c7cd22af707f2b9e676c7f72	alignments	bam	2	1	immortalized cell line	human	N/A	N/A	N/A	released	released	Correspondence: yijun.ruan@jax.org	in situ ChIA-PET	Biorep 2, Techrep 1	CTCF protein	GM12878	in situ ChIA-PET on GM12878	CTCF	HiC Processing Pipeline Results on ChIA-PET data	4DN	4DN DCIC, HMS	Yijun Ruan, JAX	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/0ccee69d-6177-42bc-8c72-26af9179a9b0/4DNFI1GNQM8L.bam
https://data.4dnucleome.org/files-processed/4DNFI9SL1WSF/@@download/4DNFI9SL1WSF.bedpe.gz	4DNES7IB5LY9	4DNEXFLO7R6M	4DNFI9SL1WSF	13.92	106b14f00ca657d765d50bee5df326d2	long range chromatin interactions	bedpe	2	1	immortalized cell line	human	N/A	N/A	N/A	released	released	Correspondence: yijun.ruan@jax.org	in situ ChIA-PET	Biorep 2, Techrep 1	CTCF protein	GM12878	in situ ChIA-PET on GM12878	CTCF	ChIA-PIPE Results	4DN	Yijun Ruan, JAX	Yijun Ruan, JAX	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/ab8c3eaa-27ed-4700-aaad-cc52c0163021/4DNFI9SL1WSF.bedpe.gz
https://data.4dnucleome.org/files-processed/4DNFIS9CCN6R/@@download/4DNFIS9CCN6R.bedpe.gz	4DNES7IB5LY9	4DNEXFLO7R6M	4DNFIS9CCN6R	84.29	e4e676fa51b5a10cb77f4c061f5c1780	long range chromatin interactions	bedpe	2	1	immortalized cell line	human	N/A	N/A	N/A	released	released	Correspondence: yijun.ruan@jax.org	in situ ChIA-PET	Biorep 2, Techrep 1	CTCF protein	GM12878	in situ ChIA-PET on GM12878	CTCF	ChIA-PIPE Results	4DN	Yijun Ruan, JAX	Yijun Ruan, JAX	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/ab3044b3-6f17-4884-bd8b-fbbedfe0dfc9/4DNFIS9CCN6R.bedpe.gz
https://data.4dnucleome.org/files-processed/4DNFIV1N7TLK/@@download/4DNFIV1N7TLK.bed.gz	4DNES7IB5LY9	4DNEXFLO7R6M	4DNFIV1N7TLK	0.15	5edb0dc2dc24bfe4003f1db3f7da63bc	peaks	bed	2	1	immortalized cell line	human	N/A	N/A	N/A	released	released	Correspondence: yijun.ruan@jax.org	in situ ChIA-PET	Biorep 2, Techrep 1	CTCF protein	GM12878	in situ ChIA-PET on GM12878	CTCF	ChIA-PIPE Results	4DN	Yijun Ruan, JAX	Yijun Ruan, JAX	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/80dcdc09-5e0a-4fe0-a941-8d62199f5cfd/4DNFIV1N7TLK.bed.gz
https://data.4dnucleome.org/files-processed/4DNFIW1VY2CW/@@download/4DNFIW1VY2CW.bed.gz	4DNES7IB5LY9	4DNEXFLO7R6M	4DNFIW1VY2CW	0.43	add00afbe0c5984902a9366e118f4dcd	peaks	bed	2	1	immortalized cell line	human	N/A	N/A	N/A	released	released	Correspondence: yijun.ruan@jax.org	in situ ChIA-PET	Biorep 2, Techrep 1	CTCF protein	GM12878	in situ ChIA-PET on GM12878	CTCF	ChIA-PIPE Results	4DN	Yijun Ruan, JAX	Yijun Ruan, JAX	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/ca32bd57-3a50-41c5-ab39-8a0754218e9f/4DNFIW1VY2CW.bed.gz
###		
###	Summary	
###		
###	Files Selected for Download:			5	
###	Total File Rows:			5	
###	Unique Downloadable Files:			5	
###						
###	IMPORTANT: As of October 15, 2020, you must include an access key in your cURL command for bulk downloads. You can configure the access key in your profile. If you do not already have an account, you can log in with your Google or GitHub credentials.				
