###	N.B.: File summary located at bottom of TSV file.					Suggested command to download: 			cut -f 1 ./4DNESHWX9JLY_supp_files_2024-12-18-20h-46m.tsv | tail -n +3 | grep -v ^# | xargs -n 1 curl -O -L --user <access_key_id>:<access_key_secret>
File Download URL	Experiment Set Accession	Experiment Accession	File Accession	Size (MB)	md5sum	File Type	File Format	Bio Rep No	Tech Rep No	Biosource Type	Organism	Related File Relationship	Related File	Paired End	Set Status	File Status	Publication	Experiment Type	Replicate Info	Assay Details	Biosource	Dataset	Condition	In Experiment As	Project	Generating Lab	Experimental Lab	Contributing Lab	Notes	Open Data URL
https://data.4dnucleome.org/files-processed/4DNFI673O2T1/@@download/4DNFI673O2T1.bed.gz	4DNESHWX9JLY	4DNEXTMBO4FW	4DNFI673O2T1	4.00	f6cf03c802903eb7bb367bb4df6251c2	peaks	bed	1	1	induced pluripotent stem cell	human	N/A	N/A	N/A	released	released	Correspondence: yijun.ruan@jax.org	in situ ChIA-PET	Biorep 1, Techrep 1	CTCF protein	WTC-11	in situ ChIA-PET on WTC11	CTCF	ChIA-PIPE Results	4DN	Yijun Ruan, JAX	Yijun Ruan, JAX	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/3412fbac-6eee-4dcc-bcc1-be5d480f8bd9/4DNFI673O2T1.bed.gz
https://data.4dnucleome.org/files-processed/4DNFIAVVH2S1/@@download/4DNFIAVVH2S1.bedpe.gz	4DNESHWX9JLY	4DNEXTMBO4FW	4DNFIAVVH2S1	45.80	e63dd90fa13bb98115c498cc8bb49059	long range chromatin interactions	bedpe	1	1	induced pluripotent stem cell	human	N/A	N/A	N/A	released	released	Correspondence: yijun.ruan@jax.org	in situ ChIA-PET	Biorep 1, Techrep 1	CTCF protein	WTC-11	in situ ChIA-PET on WTC11	CTCF	ChIA-PIPE Results	4DN	Yijun Ruan, JAX	Yijun Ruan, JAX	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/48c3ab2f-abb3-4791-ad95-44f77d543bdb/4DNFIAVVH2S1.bedpe.gz
https://data.4dnucleome.org/files-processed/4DNFIGIKBHU9/@@download/4DNFIGIKBHU9.bedpe.gz	4DNESHWX9JLY	4DNEXTMBO4FW	4DNFIGIKBHU9	304.15	754603a5fa0a53daafedb66d6d513842	long range chromatin interactions	bedpe	1	1	induced pluripotent stem cell	human	N/A	N/A	N/A	released	released	Correspondence: yijun.ruan@jax.org	in situ ChIA-PET	Biorep 1, Techrep 1	CTCF protein	WTC-11	in situ ChIA-PET on WTC11	CTCF	ChIA-PIPE Results	4DN	Yijun Ruan, JAX	Yijun Ruan, JAX	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/3fa4069d-c532-431c-baa8-8970c2476f40/4DNFIGIKBHU9.bedpe.gz
https://data.4dnucleome.org/files-processed/4DNFIUE5AYN5/@@download/4DNFIUE5AYN5.bam	4DNESHWX9JLY	4DNEXTMBO4FW	4DNFIUE5AYN5	86173.19	3205a78d23e126a9f7f519208143ffc4	alignments	bam	1	1	induced pluripotent stem cell	human	N/A	N/A	N/A	released	released	Correspondence: yijun.ruan@jax.org	in situ ChIA-PET	Biorep 1, Techrep 1	CTCF protein	WTC-11	in situ ChIA-PET on WTC11	CTCF	HiC Processing Pipeline - Preliminary Files	4DN	4DN DCIC, HMS	Yijun Ruan, JAX	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/4c468fac-857c-4286-b1ba-3113c36e176f/4DNFIUE5AYN5.bam
https://data.4dnucleome.org/files-processed/4DNFIYGOQ191/@@download/4DNFIYGOQ191.bed.gz	4DNESHWX9JLY	4DNEXTMBO4FW	4DNFIYGOQ191	10.86	ac54333603c08ecc42c7534ab27c8760	peaks	bed	1	1	induced pluripotent stem cell	human	N/A	N/A	N/A	released	released	Correspondence: yijun.ruan@jax.org	in situ ChIA-PET	Biorep 1, Techrep 1	CTCF protein	WTC-11	in situ ChIA-PET on WTC11	CTCF	ChIA-PIPE Results	4DN	Yijun Ruan, JAX	Yijun Ruan, JAX	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/c2e0e77b-d870-44f8-94eb-498caa3860bf/4DNFIYGOQ191.bed.gz
###		
###	Summary	
###		
###	Files Selected for Download:			5	
###	Total File Rows:			5	
###	Unique Downloadable Files:			5	
###						
###	IMPORTANT: As of October 15, 2020, you must include an access key in your cURL command for bulk downloads. You can configure the access key in your profile. If you do not already have an account, you can log in with your Google or GitHub credentials.				
