###	N.B.: File summary located at bottom of TSV file.					Suggested command to download: 			cut -f 1 ./4DNES7IB5LY9_supp_files_2024-11-10-19h-19m.tsv | tail -n +3 | grep -v ^# | xargs -n 1 curl -O -L --user <access_key_id>:<access_key_secret>
File Download URL	Experiment Set Accession	Experiment Accession	File Accession	Size (MB)	md5sum	File Type	File Format	Bio Rep No	Tech Rep No	Biosource Type	Organism	Related File Relationship	Related File	Paired End	Set Status	File Status	Publication	Experiment Type	Replicate Info	Assay Details	Biosource	Dataset	Condition	In Experiment As	Project	Generating Lab	Experimental Lab	Contributing Lab	Notes	Open Data URL
https://data.4dnucleome.org/files-processed/4DNFI2BAXOSW/@@download/4DNFI2BAXOSW.bedpe.gz	4DNES7IB5LY9	4DNEXKAMU4M6	4DNFI2BAXOSW	619.59	dd0e8952fc3e64987ed941ea0482b615	long range chromatin interactions	bedpe	1	1	immortalized cell line	human	N/A	N/A	N/A	released	released	Correspondence: yijun.ruan@jax.org	in situ ChIA-PET	Biorep 1, Techrep 1	CTCF protein	GM12878	in situ ChIA-PET on GM12878	CTCF	ChIA-PIPE Results	4DN	Yijun Ruan, JAX	Yijun Ruan, JAX	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/f919270e-1887-4e0d-9569-50202b0b94cb/4DNFI2BAXOSW.bedpe.gz
https://data.4dnucleome.org/files-processed/4DNFI2OEE66L/@@download/4DNFI2OEE66L.bam	4DNES7IB5LY9	4DNEXKAMU4M6	4DNFI2OEE66L	76527.63	353bb7e9096453fbda0022393b6c0837	alignments	bam	1	1	immortalized cell line	human	N/A	N/A	N/A	released	released	Correspondence: yijun.ruan@jax.org	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4DN	4DN DCIC, HMS	N/A	Yijun Ruan, JAX	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/33ce6e85-c8c1-49f8-94ff-df898a0e8ec4/4DNFI2OEE66L.bam
https://data.4dnucleome.org/files-processed/4DNFIA3H6KXY/@@download/4DNFIA3H6KXY.bedpe.gz	4DNES7IB5LY9	4DNEXKAMU4M6	4DNFIA3H6KXY	30.62	f1c9605d3f0b7717ab847a85174a666e	long range chromatin interactions	bedpe	1	1	immortalized cell line	human	N/A	N/A	N/A	released	released	Correspondence: yijun.ruan@jax.org	in situ ChIA-PET	Biorep 1, Techrep 1	CTCF protein	GM12878	in situ ChIA-PET on GM12878	CTCF	ChIA-PIPE Results	4DN	Yijun Ruan, JAX	Yijun Ruan, JAX	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/037913b0-635b-45ce-888e-b47ed1cbe2bb/4DNFIA3H6KXY.bedpe.gz
https://data.4dnucleome.org/files-processed/4DNFIG4HFIT9/@@download/4DNFIG4HFIT9.bed.gz	4DNES7IB5LY9	4DNEXKAMU4M6	4DNFIG4HFIT9	0.38	093b2123504d5ace9254284c9e2ab38a	peaks	bed	1	1	immortalized cell line	human	N/A	N/A	N/A	released	released	Correspondence: yijun.ruan@jax.org	in situ ChIA-PET	Biorep 1, Techrep 1	CTCF protein	GM12878	in situ ChIA-PET on GM12878	CTCF	ChIA-PIPE Results	4DN	Yijun Ruan, JAX	Yijun Ruan, JAX	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/3e2f0c6f-7a92-4449-ae5b-b1ac4ea12362/4DNFIG4HFIT9.bed.gz
https://data.4dnucleome.org/files-processed/4DNFINV9R36U/@@download/4DNFINV9R36U.bed.gz	4DNES7IB5LY9	4DNEXKAMU4M6	4DNFINV9R36U	0.15	d4982fbc87a624c18c76c93649533d95	peaks	bed	1	1	immortalized cell line	human	N/A	N/A	N/A	released	released	Correspondence: yijun.ruan@jax.org	in situ ChIA-PET	Biorep 1, Techrep 1	CTCF protein	GM12878	in situ ChIA-PET on GM12878	CTCF	ChIA-PIPE Results	4DN	Yijun Ruan, JAX	Yijun Ruan, JAX	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/b563b27c-788e-4356-8fe7-0bd43be32e94/4DNFINV9R36U.bed.gz
###		
###	Summary	
###		
###	Files Selected for Download:			5	
###	Total File Rows:			5	
###	Unique Downloadable Files:			5	
###						
###	IMPORTANT: As of October 15, 2020, you must include an access key in your cURL command for bulk downloads. You can configure the access key in your profile. If you do not already have an account, you can log in with your Google or GitHub credentials.				
